Mood,Tamil Song,Tamil Movie,Travel Location,Famous Places,Famous Hotels with Price,Food,Book
Romantic,Munbe Vaa,Deiva Thirumagal,Kodaikanal,"Pillar Rocks, Bryant Park, Coaker's Walk",Taj Exotica (₹12000/night),Ice Cream,The Alchemist
Calm,Munbe Vaa,Vaaranam Aayiram,Ooty,"Doddabetta Peak, Botanical Garden, Ooty Lake",Tea County (₹7000/night),Samosa,Ikigai
Happy,Munbe Vaa,Sillunu Oru Kadhal,Kodaikanal,"Hadimba Temple, Solang Valley, Rohtang Pass",Span Resort & Spa (₹10000/night),Samosa,Ikigai
Romantic,Munbe Vaa,Minnale,Kodaikanal,"Bryant Park, Pillar Rocks, Coaker's Walk",Taj Exotica (₹12000/night),Samosa,Big Magic
Happy,Munbe Vaa,Vaaranam Aayiram,Manali,"Mall Road, Kufri, Jakhoo Temple",Span Resort & Spa (₹10000/night),Biryani,Big Magic
Happy,Munbe Vaa,Deiva Thirumagal,Goa,"Hadimba Temple, Solang Valley, Rohtang Pass",Tea County (₹7000/night),Pasta,Atomic Habits
Happy,Ullam Urugudhaiya,Vaaranam Aayiram,Goa,"Kufri, Jakhoo Temple, Mall Road",Tea County (₹7000/night),Pasta,Big Magic
Romantic,Ullam Urugudhaiya,Thani Oruvan,Ooty,"Coaker's Walk, Pillar Rocks, Bryant Park",Taj Savoy (₹10500/night),Samosa,Ikigai
Romantic,Munbe Vaa,Vaaranam Aayiram,Goa,"Bryant Park, Pillar Rocks, Coaker's Walk",Taj Exotica (₹12000/night),Ice Cream,Atomic Habits
Happy,Munbe Vaa,Deiva Thirumagal,Munnar,"Bryant Park, Pillar Rocks, Coaker's Walk",Sterling Kodai Lake (₹6000/night),Pasta,The Alchemist
Adventurous,Munbe Vaa,Thani Oruvan,Manali,"Kufri, Jakhoo Temple, Mall Road",Sterling Kodai Lake (₹6000/night),Samosa,Big Magic
Happy,Munbe Vaa,Vaaranam Aayiram,Ooty,"Bryant Park, Coaker's Walk, Pillar Rocks",Taj Savoy (₹10500/night),Samosa,Ikigai
Calm,Nenjukkul Peidhidum,Thani Oruvan,Ooty,"Hadimba Temple, Rohtang Pass, Solang Valley",Savoy Ooty (₹9000/night),Samosa,The Alchemist
Calm,Ullam Urugudhaiya,Thani Oruvan,Goa,"Botanical Garden, Doddabetta Peak, Ooty Lake",Sterling Kodai Lake (₹6000/night),Pasta,Atomic Habits
Happy,Munbe Vaa,Thani Oruvan,Kodaikanal,"Mall Road, Kufri, Jakhoo Temple",Wildflower Hall (₹13000/night),Pasta,The Alchemist
Adventurous,Munbe Vaa,Azhagiya Tamil Magan,Goa,"Bryant Park, Coaker's Walk, Pillar Rocks",Sterling Kodai Lake (₹6000/night),Chocolate Ice Cream,Ikigai
Romantic,Ullam Urugudhaiya,Azhagiya Tamil Magan,Kodaikanal,"Coaker's Walk, Pillar Rocks, Bryant Park",Tea County (₹7000/night),Samosa,Atomic Habits
Adventurous,Munbe Vaa,Minnale,Goa,"Solang Valley, Rohtang Pass, Hadimba Temple",Span Resort & Spa (₹10000/night),Pizza,Atomic Habits
Happy,Ullam Urugudhaiya,Minnale,Munnar,"Aguada Fort, Baga Beach, Dudhsagar Falls",Sterling Kodai Lake (₹6000/night),Samosa,Sapiens
Happy,Munbe Vaa,Deiva Thirumagal,Goa,"Solang Valley, Rohtang Pass, Hadimba Temple",Taj Exotica (₹12000/night),Pasta,Ikigai
Happy,Ullam Urugudhaiya,Deiva Thirumagal,Ooty,"Coaker's Walk, Pillar Rocks, Bryant Park",Manu Allaya Resort (₹7500/night),Chocolate Ice Cream,The Alchemist
Calm,Munbe Vaa,Thani Oruvan,Shimla,"Kufri, Jakhoo Temple, Mall Road",Wildflower Hall (₹13000/night),Biryani,Big Magic
Adventurous,Munbe Vaa,Vaaranam Aayiram,Shimla,"Botanical Garden, Doddabetta Peak, Ooty Lake",The Leela (₹15000/night),Chocolate Ice Cream,Ikigai
Romantic,Munbe Vaa,Azhagiya Tamil Magan,Shimla,"Bryant Park, Pillar Rocks, Coaker's Walk",Taj Exotica (₹12000/night),Ice Cream,Ikigai
Calm,Nenjukkul Peidhidum,Minnale,Goa,"Tea Gardens, Eravikulam National Park, Mattupetty Dam",Manu Allaya Resort (₹7500/night),Samosa,Ikigai
Adventurous,Munbe Vaa,Sillunu Oru Kadhal,Kodaikanal,"Solang Valley, Rohtang Pass, Hadimba Temple",Fragrant Nature (₹8500/night),Pasta,Ikigai
Calm,Nenjukkul Peidhidum,Vaaranam Aayiram,Munnar,"Tea Gardens, Mattupetty Dam, Eravikulam National Park",Fragrant Nature (₹8500/night),Samosa,Big Magic
Calm,Munbe Vaa,Vaaranam Aayiram,Kodaikanal,"Kufri, Jakhoo Temple, Mall Road",Sterling Kodai Lake (₹6000/night),Pasta,Big Magic
Calm,Ullam Urugudhaiya,Thani Oruvan,Kodaikanal,"Doddabetta Peak, Ooty Lake, Botanical Garden",Manu Allaya Resort (₹7500/night),Pasta,Big Magic
Romantic,Munbe Vaa,Deiva Thirumagal,Kodaikanal,"Coaker's Walk, Pillar Rocks, Bryant Park",Taj Savoy (₹10500/night),Ice Cream,Atomic Habits
Adventurous,Ullam Urugudhaiya,Minnale,Goa,"Coaker's Walk, Pillar Rocks, Bryant Park",The Leela (₹15000/night),Pizza,Atomic Habits
Happy,Munbe Vaa,Minnale,Munnar,"Aguada Fort, Baga Beach, Dudhsagar Falls",Fragrant Nature (₹8500/night),Biryani,Big Magic
Adventurous,Nenjukkul Peidhidum,Vaaranam Aayiram,Shimla,"Dudhsagar Falls, Baga Beach, Aguada Fort",Taj Exotica (₹12000/night),Pasta,Ikigai
Happy,Munbe Vaa,Deiva Thirumagal,Goa,"Coaker's Walk, Pillar Rocks, Bryant Park",The Carlton (₹8000/night),Ice Cream,Ikigai
Happy,Munbe Vaa,Sillunu Oru Kadhal,Kodaikanal,"Mall Road, Kufri, Jakhoo Temple",Sterling Kodai Lake (₹6000/night),Chocolate Ice Cream,Atomic Habits
Happy,Munbe Vaa,Minnale,Manali,"Kufri, Jakhoo Temple, Mall Road",Taj Exotica (₹12000/night),Pizza,The Alchemist
Happy,Munbe Vaa,Minnale,Goa,"Solang Valley, Rohtang Pass, Hadimba Temple",Span Resort & Spa (₹10000/night),Biryani,The Alchemist
Calm,Munbe Vaa,Deiva Thirumagal,Goa,"Bryant Park, Coaker's Walk, Pillar Rocks",Tea County (₹7000/night),Samosa,Big Magic
Happy,Munbe Vaa,Thani Oruvan,Munnar,"Coaker's Walk, Pillar Rocks, Bryant Park",Taj Savoy (₹10500/night),Samosa,Big Magic
Romantic,Ullam Urugudhaiya,Thani Oruvan,Manali,"Coaker's Walk, Pillar Rocks, Bryant Park",Wildflower Hall (₹13000/night),Ice Cream,The Alchemist
Happy,Nenjukkul Peidhidum,Vaaranam Aayiram,Manali,"Aguada Fort, Dudhsagar Falls, Baga Beach",Manu Allaya Resort (₹7500/night),Ice Cream,Sapiens
Calm,Ullam Urugudhaiya,Sillunu Oru Kadhal,Goa,"Aguada Fort, Baga Beach, Dudhsagar Falls",The Leela (₹15000/night),Pasta,Big Magic
Calm,Munbe Vaa,Sillunu Oru Kadhal,Munnar,"Tea Gardens, Eravikulam National Park, Mattupetty Dam",Savoy Ooty (₹9000/night),Samosa,Atomic Habits
Calm,Nenjukkul Peidhidum,Deiva Thirumagal,Shimla,"Solang Valley, Rohtang Pass, Hadimba Temple",Span Resort & Spa (₹10000/night),Biryani,Ikigai
Calm,Ullam Urugudhaiya,Vaaranam Aayiram,Ooty,"Bryant Park, Coaker's Walk, Pillar Rocks",Manu Allaya Resort (₹7500/night),Biryani,Big Magic
Adventurous,Nenjukkul Peidhidum,Deiva Thirumagal,Ooty,"Bryant Park, Coaker's Walk, Pillar Rocks",Manu Allaya Resort (₹7500/night),Samosa,Ikigai
Happy,Ullam Urugudhaiya,Thani Oruvan,Kodaikanal,"Aguada Fort, Dudhsagar Falls, Baga Beach",Wildflower Hall (₹13000/night),Chocolate Ice Cream,Sapiens
Romantic,Ullam Urugudhaiya,Deiva Thirumagal,Kodaikanal,"Eravikulam National Park, Mattupetty Dam, Tea Gardens",Taj Exotica (₹12000/night),Samosa,Ikigai
Calm,Munbe Vaa,Vaaranam Aayiram,Goa,"Solang Valley, Rohtang Pass, Hadimba Temple",Sterling Kodai Lake (₹6000/night),Ice Cream,The Alchemist
Happy,Ullam Urugudhaiya,Azhagiya Tamil Magan,Manali,"Bryant Park, Coaker's Walk, Pillar Rocks",Wildflower Hall (₹13000/night),Pizza,Sapiens
Romantic,Ullam Urugudhaiya,Vaaranam Aayiram,Goa,"Kufri, Jakhoo Temple, Mall Road",The Leela (₹15000/night),Biryani,Sapiens
Adventurous,Ullam Urugudhaiya,Vaaranam Aayiram,Kodaikanal,"Bryant Park, Pillar Rocks, Coaker's Walk",Sterling Kodai Lake (₹6000/night),Pizza,Big Magic
Romantic,Nenjukkul Peidhidum,Sillunu Oru Kadhal,Manali,"Bryant Park, Coaker's Walk, Pillar Rocks",Manu Allaya Resort (₹7500/night),Pasta,Big Magic
Calm,Ullam Urugudhaiya,Deiva Thirumagal,Ooty,"Doddabetta Peak, Ooty Lake, Botanical Garden",Taj Exotica (₹12000/night),Chocolate Ice Cream,Ikigai
Happy,Munbe Vaa,Thani Oruvan,Kodaikanal,"Hadimba Temple, Solang Valley, Rohtang Pass",Span Resort & Spa (₹10000/night),Pizza,Ikigai
Romantic,Munbe Vaa,Thani Oruvan,Manali,"Coaker's Walk, Pillar Rocks, Bryant Park",Sterling Kodai Lake (₹6000/night),Pasta,Big Magic
Happy,Munbe Vaa,Azhagiya Tamil Magan,Ooty,"Coaker's Walk, Bryant Park, Pillar Rocks",Sterling Kodai Lake (₹6000/night),Ice Cream,Ikigai
Romantic,Munbe Vaa,Thani Oruvan,Manali,"Hadimba Temple, Solang Valley, Rohtang Pass",Span Resort & Spa (₹10000/night),Pizza,Atomic Habits
Adventurous,Munbe Vaa,Sillunu Oru Kadhal,Manali,"Kufri, Jakhoo Temple, Mall Road",Sterling Kodai Lake (₹6000/night),Pasta,Sapiens
Adventurous,Ullam Urugudhaiya,Minnale,Kodaikanal,"Eravikulam National Park, Mattupetty Dam, Tea Gardens",Tea County (₹7000/night),Pasta,Big Magic
Adventurous,Ullam Urugudhaiya,Vaaranam Aayiram,Goa,"Bryant Park, Pillar Rocks, Coaker's Walk",The Leela (₹15000/night),Samosa,Sapiens
Adventurous,Ullam Urugudhaiya,Minnale,Ooty,"Coaker's Walk, Bryant Park, Pillar Rocks",Taj Savoy (₹10500/night),Pasta,Big Magic
Happy,Ullam Urugudhaiya,Thani Oruvan,Goa,"Bryant Park, Pillar Rocks, Coaker's Walk",Taj Savoy (₹10500/night),Chocolate Ice Cream,Ikigai
Adventurous,Nenjukkul Peidhidum,Vaaranam Aayiram,Kodaikanal,"Hadimba Temple, Rohtang Pass, Solang Valley",The Leela (₹15000/night),Ice Cream,Ikigai
Happy,Ullam Urugudhaiya,Sillunu Oru Kadhal,Manali,"Aguada Fort, Baga Beach, Dudhsagar Falls",Sterling Kodai Lake (₹6000/night),Biryani,Atomic Habits
Happy,Ullam Urugudhaiya,Thani Oruvan,Kodaikanal,"Baga Beach, Aguada Fort, Dudhsagar Falls",Manu Allaya Resort (₹7500/night),Chocolate Ice Cream,Big Magic
Happy,Nenjukkul Peidhidum,Sillunu Oru Kadhal,Goa,"Solang Valley, Rohtang Pass, Hadimba Temple",Taj Exotica (₹12000/night),Samosa,Sapiens
Happy,Nenjukkul Peidhidum,Minnale,Kodaikanal,"Bryant Park, Coaker's Walk, Pillar Rocks",Sterling Kodai Lake (₹6000/night),Samosa,Big Magic
Romantic,Ullam Urugudhaiya,Sillunu Oru Kadhal,Goa,"Bryant Park, Pillar Rocks, Coaker's Walk",Sterling Kodai Lake (₹6000/night),Samosa,The Alchemist
Happy,Munbe Vaa,Sillunu Oru Kadhal,Shimla,"Bryant Park, Pillar Rocks, Coaker's Walk",Span Resort & Spa (₹10000/night),Pasta,The Alchemist
Romantic,Munbe Vaa,Sillunu Oru Kadhal,Ooty,"Bryant Park, Coaker's Walk, Pillar Rocks",Taj Exotica (₹12000/night),Ice Cream,Ikigai
Romantic,Ullam Urugudhaiya,Vaaranam Aayiram,Munnar,"Mall Road, Kufri, Jakhoo Temple",Span Resort & Spa (₹10000/night),Biryani,The Alchemist
Adventurous,Munbe Vaa,Minnale,Manali,"Hadimba Temple, Rohtang Pass, Solang Valley",Taj Savoy (₹10500/night),Ice Cream,Atomic Habits
Calm,Ullam Urugudhaiya,Minnale,Kodaikanal,"Solang Valley, Rohtang Pass, Hadimba Temple",Tea County (₹7000/night),Pizza,Big Magic
Calm,Nenjukkul Peidhidum,Vaaranam Aayiram,Shimla,"Doddabetta Peak, Botanical Garden, Ooty Lake",Taj Exotica (₹12000/night),Samosa,Ikigai
Adventurous,Munbe Vaa,Vaaranam Aayiram,Ooty,"Pillar Rocks, Coaker's Walk, Bryant Park",Taj Savoy (₹10500/night),Ice Cream,Atomic Habits
Happy,Munbe Vaa,Vaaranam Aayiram,Ooty,"Doddabetta Peak, Botanical Garden, Ooty Lake",Taj Exotica (₹12000/night),Pasta,Sapiens
Calm,Munbe Vaa,Thani Oruvan,Manali,"Doddabetta Peak, Ooty Lake, Botanical Garden",Tea County (₹7000/night),Samosa,Atomic Habits
Calm,Nenjukkul Peidhidum,Thani Oruvan,Kodaikanal,"Hadimba Temple, Rohtang Pass, Solang Valley",Manu Allaya Resort (₹7500/night),Biryani,Ikigai
Happy,Nenjukkul Peidhidum,Thani Oruvan,Kodaikanal,"Tea Gardens, Mattupetty Dam, Eravikulam National Park",Taj Savoy (₹10500/night),Pizza,Ikigai
Calm,Ullam Urugudhaiya,Sillunu Oru Kadhal,Shimla,"Pillar Rocks, Bryant Park, Coaker's Walk",Sterling Kodai Lake (₹6000/night),Chocolate Ice Cream,Atomic Habits
Calm,Nenjukkul Peidhidum,Vaaranam Aayiram,Manali,"Bryant Park, Pillar Rocks, Coaker's Walk",Span Resort & Spa (₹10000/night),Samosa,Ikigai
Calm,Nenjukkul Peidhidum,Thani Oruvan,Kodaikanal,"Tea Gardens, Eravikulam National Park, Mattupetty Dam",Taj Exotica (₹12000/night),Pasta,Big Magic
Romantic,Nenjukkul Peidhidum,Deiva Thirumagal,Goa,"Coaker's Walk, Pillar Rocks, Bryant Park",Taj Exotica (₹12000/night),Ice Cream,The Alchemist
Romantic,Ullam Urugudhaiya,Deiva Thirumagal,Manali,"Dudhsagar Falls, Aguada Fort, Baga Beach",Sterling Kodai Lake (₹6000/night),Ice Cream,Atomic Habits
Adventurous,Munbe Vaa,Deiva Thirumagal,Kodaikanal,"Doddabetta Peak, Ooty Lake, Botanical Garden",Sterling Kodai Lake (₹6000/night),Pasta,Big Magic
Happy,Ullam Urugudhaiya,Deiva Thirumagal,Shimla,"Coaker's Walk, Pillar Rocks, Bryant Park",Wildflower Hall (₹13000/night),Chocolate Ice Cream,Atomic Habits
Romantic,Nenjukkul Peidhidum,Deiva Thirumagal,Munnar,"Mall Road, Kufri, Jakhoo Temple",Taj Savoy (₹10500/night),Pasta,Sapiens
Adventurous,Nenjukkul Peidhidum,Minnale,Manali,"Dudhsagar Falls, Baga Beach, Aguada Fort",The Leela (₹15000/night),Chocolate Ice Cream,Big Magic
Calm,Munbe Vaa,Vaaranam Aayiram,Manali,"Eravikulam National Park, Mattupetty Dam, Tea Gardens",Manu Allaya Resort (₹7500/night),Biryani,Big Magic
Happy,Munbe Vaa,Azhagiya Tamil Magan,Ooty,"Tea Gardens, Eravikulam National Park, Mattupetty Dam",Wildflower Hall (₹13000/night),Samosa,Big Magic
Happy,Nenjukkul Peidhidum,Minnale,Ooty,"Bryant Park, Coaker's Walk, Pillar Rocks",Taj Savoy (₹10500/night),Chocolate Ice Cream,Big Magic
Happy,Munbe Vaa,Azhagiya Tamil Magan,Goa,"Bryant Park, Coaker's Walk, Pillar Rocks",Sterling Kodai Lake (₹6000/night),Ice Cream,The Alchemist
Happy,Munbe Vaa,Thani Oruvan,Manali,"Pillar Rocks, Bryant Park, Coaker's Walk",Span Resort & Spa (₹10000/night),Biryani,Atomic Habits
Happy,Munbe Vaa,Vaaranam Aayiram,Manali,"Dudhsagar Falls, Aguada Fort, Baga Beach",Taj Exotica (₹12000/night),Pizza,Big Magic
Happy,Nenjukkul Peidhidum,Sillunu Oru Kadhal,Shimla,"Coaker's Walk, Pillar Rocks, Bryant Park",Wildflower Hall (₹13000/night),Samosa,Ikigai
Calm,Munbe Vaa,Sillunu Oru Kadhal,Manali,"Aguada Fort, Baga Beach, Dudhsagar Falls",Sterling Kodai Lake (₹6000/night),Samosa,Ikigai
Romantic,Ullam Urugudhaiya,Minnale,Munnar,"Dudhsagar Falls, Aguada Fort, Baga Beach",Manu Allaya Resort (₹7500/night),Biryani,The Alchemist
Romantic,Ullam Urugudhaiya,Sillunu Oru Kadhal,Kodaikanal,"Solang Valley, Rohtang Pass, Hadimba Temple",Manu Allaya Resort (₹7500/night),Chocolate Ice Cream,Sapiens
Happy,Nenjukkul Peidhidum,Minnale,Munnar,"Coaker's Walk, Bryant Park, Pillar Rocks",The Leela (₹15000/night),Pizza,The Alchemist
Adventurous,Ullam Urugudhaiya,Vaaranam Aayiram,Munnar,"Aguada Fort, Dudhsagar Falls, Baga Beach",Savoy Ooty (₹9000/night),Samosa,Ikigai
Happy,Munbe Vaa,Thani Oruvan,Manali,"Hadimba Temple, Rohtang Pass, Solang Valley",Span Resort & Spa (₹10000/night),Samosa,Big Magic
Happy,Nenjukkul Peidhidum,Sillunu Oru Kadhal,Kodaikanal,"Kufri, Jakhoo Temple, Mall Road",Taj Savoy (₹10500/night),Biryani,Ikigai
Romantic,Munbe Vaa,Thani Oruvan,Kodaikanal,"Ooty Lake, Doddabetta Peak, Botanical Garden",The Leela (₹15000/night),Pasta,Big Magic
Happy,Ullam Urugudhaiya,Azhagiya Tamil Magan,Ooty,"Coaker's Walk, Pillar Rocks, Bryant Park",Sterling Kodai Lake (₹6000/night),Chocolate Ice Cream,Sapiens
Happy,Ullam Urugudhaiya,Minnale,Munnar,"Baga Beach, Aguada Fort, Dudhsagar Falls",Manu Allaya Resort (₹7500/night),Pizza,The Alchemist
Romantic,Ullam Urugudhaiya,Deiva Thirumagal,Kodaikanal,"Coaker's Walk, Pillar Rocks, Bryant Park",Span Resort & Spa (₹10000/night),Pasta,Sapiens
